mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.02036130428314209,0.0002199411392211914,5.800802707672119,0.05941581726074219,uniform,3,cosine,30,auto,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'auto'}",0.5137307434695244,0.5243865310844548,0.5190586372769896,0.005327893807465178,15
0.021335482597351074,0.0012470483779907227,5.877944231033325,0.08770942687988281,uniform,7,euclidean,30,auto,"{'weights': 'uniform', 'n_neighbors': 7, 'metric': 'euclidean', 'leaf_size': 30, 'algorithm': 'auto'}",0.32990318455824147,0.3287462704743348,0.32932472751628816,0.0005784570419533341,25
0.019542336463928223,0.0005868673324584961,5.4901227951049805,0.2087564468383789,distance,15,euclidean,50,auto,"{'weights': 'distance', 'n_neighbors': 15, 'metric': 'euclidean', 'leaf_size': 50, 'algorithm': 'auto'}",0.33593131583754493,0.36564574072946476,0.3507885282835048,0.014857212445959916,19
0.02058255672454834,0.00021779537200927734,6.033652663230896,0.07349288463592529,uniform,15,euclidean,30,brute,"{'weights': 'uniform', 'n_neighbors': 15, 'metric': 'euclidean', 'leaf_size': 30, 'algorithm': 'brute'}",0.35663398891798087,0.39694331120988857,0.3767886500639347,0.02015466114595385,18
0.022084951400756836,0.0019078254699707031,5.324833035469055,0.036605000495910645,distance,7,euclidean,50,brute,"{'weights': 'distance', 'n_neighbors': 7, 'metric': 'euclidean', 'leaf_size': 50, 'algorithm': 'brute'}",0.3301467454180113,0.3297205139134141,0.3299336296657127,0.00021311575229859825,23
0.027518868446350098,0.0025337934494018555,5.2627352476119995,0.02774941921234131,distance,9,cosine,50,brute,"{'weights': 'distance', 'n_neighbors': 9, 'metric': 'cosine', 'leaf_size': 50, 'algorithm': 'brute'}",0.5678012543384278,0.56092066004993,0.5643609571941789,0.0034402971442488717,11
0.022217512130737305,0.0012271404266357422,5.821001648902893,0.025853276252746582,uniform,11,cosine,50,auto,"{'weights': 'uniform', 'n_neighbors': 11, 'metric': 'cosine', 'leaf_size': 50, 'algorithm': 'auto'}",0.5626864762832613,0.5704195335809535,0.5665530049321075,0.0038665286488461237,10
0.02431488037109375,0.0015799999237060547,5.797968029975891,0.038687825202941895,uniform,20,cosine,30,auto,"{'weights': 'uniform', 'n_neighbors': 20, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'auto'}",0.5841198319430068,0.5902088534372526,0.5871643426901296,0.00304451074712292,3
0.02278435230255127,0.004366755485534668,5.339832544326782,0.10967469215393066,distance,5,cosine,50,auto,"{'weights': 'distance', 'n_neighbors': 5, 'metric': 'cosine', 'leaf_size': 50, 'algorithm': 'auto'}",0.5410704499786885,0.5410704499786885,0.5410704499786885,0.0,14
0.02157449722290039,0.0019834041595458984,5.852937817573547,0.08901989459991455,uniform,15,cosine,30,brute,"{'weights': 'uniform', 'n_neighbors': 15, 'metric': 'cosine', 'leaf_size': 30, 'algorithm': 'brute'}",0.5773610180843939,0.5788223832430128,0.5780917006637034,0.0007306825793094718,7
0.027622342109680176,0.0057440996170043945,5.777581334114075,0.07048189640045166,uniform,9,cosine,50,brute,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'cosine', 'leaf_size': 50, 'algorithm': 'brute'}",0.563721609937283,0.5598855263959082,0.5618035681665956,0.0019180417706874398,12
