mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_prior,param_binarize,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.38456908861796063,0.0013620662959603189,0.06893833478291829,0.0034572935817274004,False,0.8333333333333333,10000.0,"{'fit_prior': False, 'binarize': np.float64(0.8333333333333333), 'alpha': np.float64(10000.0)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.4111812114715576,0.005405963839065663,0.08133784929911296,0.0010847759650617164,False,0.125,0.05298316906283713,"{'fit_prior': False, 'binarize': np.float64(0.125), 'alpha': np.float64(0.05298316906283713)}",0.7127806775992218,0.7149178688367378,0.7136163741728659,0.7137716402029418,0.0008793851077127442,1
0.38826409975687665,0.006692372976263073,0.06788818041483562,0.003920998006095892,False,0.6666666666666666,0.0030391953823131978,"{'fit_prior': False, 'binarize': np.float64(0.6666666666666666), 'alpha': np.float64(0.0030391953823131978)}",0.346759278286959,0.3482388722206239,0.3460331812639568,0.34701044392384656,0.0009178167144354273,21
0.3967891534169515,0.009673435900346862,0.0738215446472168,0.0012994033916582785,False,0.0,2.0433597178569438e-05,"{'fit_prior': False, 'binarize': np.float64(0.0), 'alpha': np.float64(2.0433597178569438e-05)}",0.6821613031386571,0.6854492896579124,0.6842436946008521,0.683951429132474,0.0013581306185847153,7
0.38343079884847003,0.002947183195874268,0.06911317507425944,0.004083053706503524,False,1.0,137.3823795883264,"{'fit_prior': False, 'binarize': np.float64(1.0), 'alpha': np.float64(137.3823795883264)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.38743241628011066,0.005135523890420841,0.07558552424112956,0.0032539717890975434,True,0.5833333333333333,67.23357536499334,"{'fit_prior': True, 'binarize': np.float64(0.5833333333333333), 'alpha': np.float64(67.23357536499334)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.38956109682718915,0.0012365947805483047,0.07167967160542806,0.0024565753245154864,True,0.8333333333333333,137.3823795883264,"{'fit_prior': True, 'binarize': np.float64(0.8333333333333333), 'alpha': np.float64(137.3823795883264)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.3839281400044759,0.00635685963694847,0.07128135363260905,0.003136412434513032,False,1.0,280.72162039411813,"{'fit_prior': False, 'binarize': np.float64(1.0), 'alpha': np.float64(280.72162039411813)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.38586584726969403,0.003600149008938034,0.07357033093770345,0.0027815128664523364,False,0.375,4893.900918477499,"{'fit_prior': False, 'binarize': np.float64(0.375), 'alpha': np.float64(4893.900918477499)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.3899065653483073,0.0014753551443305072,0.06837272644042969,0.0014902009685518992,True,0.6666666666666666,0.0030391953823131978,"{'fit_prior': True, 'binarize': np.float64(0.6666666666666666), 'alpha': np.float64(0.0030391953823131978)}",0.3465674790733358,0.347471675366131,0.34634827997205214,0.3467958114705063,0.0004862139896229648,22
0.39841310183207196,0.006826833284368116,0.07634369532267253,0.0024645340579376234,True,0.041666666666666664,10000.0,"{'fit_prior': True, 'binarize': np.float64(0.041666666666666664), 'alpha': np.float64(10000.0)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.3845505714416504,0.0030528891659282334,0.07169326146443684,0.003271356619682751,True,0.41666666666666663,10000.0,"{'fit_prior': True, 'binarize': np.float64(0.41666666666666663), 'alpha': np.float64(10000.0)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.38399656613667804,0.005165593963287525,0.07012701034545898,2.1347007780970405e-05,True,0.7083333333333333,280.72162039411813,"{'fit_prior': True, 'binarize': np.float64(0.7083333333333333), 'alpha': np.float64(280.72162039411813)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.39298685391743976,0.006802949790808015,0.07108759880065918,0.0014898023783685213,False,0.625,573.6152510448682,"{'fit_prior': False, 'binarize': np.float64(0.625), 'alpha': np.float64(573.6152510448682)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.386216402053833,0.0075508333450470125,0.07087024052937825,0.003941992610173095,False,0.7083333333333333,32.90344562312671,"{'fit_prior': False, 'binarize': np.float64(0.7083333333333333), 'alpha': np.float64(32.90344562312671)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.42489004135131836,0.003971810813355885,0.0840904712677002,0.0035163693430737765,True,0.20833333333333331,0.05298316906283713,"{'fit_prior': True, 'binarize': np.float64(0.20833333333333331), 'alpha': np.float64(0.05298316906283713)}",0.679654213417725,0.6819695039250339,0.6793802145411204,0.6803346439612931,0.0011614198700662277,8
0.39186875025431317,0.005064820869155058,0.07027626037597656,0.0023443116912722963,True,0.7083333333333333,573.6152510448682,"{'fit_prior': True, 'binarize': np.float64(0.7083333333333333), 'alpha': np.float64(573.6152510448682)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.38596471150716144,0.0017879183138122547,0.06923516591389973,0.00178030882179975,False,0.8333333333333333,16.102620275609393,"{'fit_prior': False, 'binarize': np.float64(0.8333333333333333), 'alpha': np.float64(16.102620275609393)}",0.3403888044059019,0.3406491033386763,0.3404710040688833,0.34050297060448714,0.00010864400014039354,27
0.3869052728017171,0.004519908771640579,0.07072067260742188,0.0008406180866769121,True,0.41666666666666663,0.00017433288221999874,"{'fit_prior': True, 'binarize': np.float64(0.41666666666666663), 'alpha': np.float64(0.00017433288221999874)}",0.42278026660090695,0.42452015946734617,0.4256846546929158,0.42432836025372295,0.0011934425697704728,14
0.3865719636281331,0.0035725947709179897,0.07193175951639812,0.002369056336449138,False,0.7916666666666666,0.0007278953843983154,"{'fit_prior': False, 'binarize': np.float64(0.7916666666666666), 'alpha': np.float64(0.0007278953843983154)}",0.342114997328511,0.3343745290644308,0.3421697971038319,0.33955310783225795,0.0036618765039057775,50
0.3897713820139567,0.004290989745566608,0.07306281725565593,0.0013661423740992885,False,0.4583333333333333,0.0030391953823131978,"{'fit_prior': False, 'binarize': np.float64(0.4583333333333333), 'alpha': np.float64(0.0030391953823131978)}",0.3936678859616676,0.39429808337785816,0.3947775814119162,0.3942478502504807,0.0004544216275591245,18
0.3838871320088704,0.0017681095928174086,0.07001185417175293,0.006224073517236874,True,0.5833333333333333,0.0030391953823131978,"{'fit_prior': True, 'binarize': np.float64(0.5833333333333333), 'alpha': np.float64(0.0030391953823131978)}",0.354787445371474,0.3556505418327785,0.3545956461578508,0.3550112111207011,0.0004588060985795465,20
0.4209739367167155,0.009970904067099093,0.08545525868733723,0.0015151117130556295,False,0.08333333333333333,67.23357536499334,"{'fit_prior': False, 'binarize': np.float64(0.08333333333333333), 'alpha': np.float64(67.23357536499334)}",0.6190456619127862,0.6151822777526612,0.6119490910087269,0.615392343558058,0.0029009682729545347,10
